"effect","term","estimate","std.error","statistic","df","p.value","best_shape_model","focal_terms","pfas_var","immune_var","n_obs","test_type","FDR_p"
"fixed","PFAS_scaled:DNA_sexU",1.72079927358206,5.16461053689125,0.333190520619173,108.638820895121,0.739632643519764,"quadratic","PFAS_scaled + PFAS_sq_scaled","PFTEDA","log_clysis",110,"interaction",0.996458388374059
"fixed","PFAS_scaled:age",-0.142325989026093,0.10490597823323,-1.35670046095628,85.3374960554614,0.178454569099935,"quadratic","PFAS_scaled + PFAS_sq_scaled","PFTEDA","log_clysis",110,"interaction",0.996458388374059
"fixed","PFAS_sq_scaled:DNA_sexM",-0.579333544658414,1.87316907733135,-0.309279899860281,109.9986311926,0.757693692380484,"quadratic","PFAS_scaled + PFAS_sq_scaled","PFTEDA","log_clysis",110,"interaction",0.996458388374059
"fixed","PFAS_sq_scaled:age",0.136950276776982,0.118835203951414,1.15243860592838,92.6832050233656,0.252104672113922,"quadratic","PFAS_scaled + PFAS_sq_scaled","PFTEDA","log_clysis",110,"interaction",0.996458388374059
"fixed","(Intercept)",0.936415806283055,1.47855319253184,0.633332511141894,62.9480445050472,0.528810931397878,"log","log_PFAS_scaled","PFTRDA","log_clysis",110,"covariate",0.671762955941016
"fixed","log_PFAS_scaled",0.133321719738689,1.3594240514762,0.0980722090314015,74.9109169158128,0.922136898514472,"log","log_PFAS_scaled","PFTRDA","log_clysis",110,"main_effect",0.971388864288028
"fixed","DNA_sexM",0.58080563890427,0.526907415935176,1.10229163860492,106.539326175531,0.272818764875086,"log","log_PFAS_scaled","PFTRDA","log_clysis",110,"covariate",0.517511883886761
"fixed","DNA_sexU",-0.267950481230881,6.26369393590767,-0.0427783483632254,109.028964356254,0.965956468284725,"log","log_PFAS_scaled","PFTRDA","log_clysis",110,"covariate",0.97123491893109
"fixed","age",-0.0786359082523939,0.0308134701362148,-2.55199780825639,60.8181360309227,0.0132395455474118,"log","log_PFAS_scaled","PFTRDA","log_clysis",110,"covariate",0.0392915545278029
"fixed","log_PFAS_scaled:DNA_sexM",0.0467674021052091,0.513607141263568,0.0910567598226004,107.878226717161,0.927616352509602,"log","log_PFAS_scaled","PFTRDA","log_clysis",110,"interaction",0.996458388374059
"fixed","log_PFAS_scaled:DNA_sexU",2.50530883778148,6.37107454315844,0.393231757187929,108.950999543102,0.694916725082751,"log","log_PFAS_scaled","PFTRDA","log_clysis",110,"interaction",0.996458388374059
"fixed","log_PFAS_scaled:age",-0.0269612519216854,0.0297893877486173,-0.905062304375047,66.8580521214142,0.368682350764614,"log","log_PFAS_scaled","PFTRDA","log_clysis",110,"interaction",0.996458388374059
"fixed","(Intercept)",0.394966817831847,1.54281710911972,0.25600365428745,70.9908016633555,0.798688379341561,"linear","PFAS_scaled","PFUNDA","log_clysis",110,"covariate",0.865122378191296
"fixed","PFAS_scaled",-2.00023403890399,2.08623087816433,-0.958778848419686,84.7602675584296,0.340397114077507,"linear","PFAS_scaled","PFUNDA","log_clysis",110,"main_effect",0.963394758214043
