"effect","term","estimate","std.error","statistic","df","p.value","pfas_var","immune_var","n_obs","test_type","FDR_p"
"fixed","PFAS_scaled:DNA_sexM",0.218177856701655,0.160941003885744,1.35563872123318,72.1073788978,0.179444976490689,"PFUNDA","log_igy",110,"interaction",0.636460897638015
"fixed","PFAS_scaled:age",-0.0098902336307174,0.00626997239215622,-1.57739667930439,109.67175292947,0.117584452812954,"PFUNDA","log_igy",110,"interaction",0.576163818783476
"fixed","(Intercept)",-1.9394410000827,0.277257794835238,-6.99508196418871,105.833024436906,2.49168806159948e-10,"TOTAL_PFAS","log_igy",110,"covariate",1.5561007686807e-08
"fixed","PFAS_scaled",-0.0618603357352117,0.309896367912231,-0.199616201222248,95.5894767560234,0.842204780096947,"TOTAL_PFAS","log_igy",110,"main_effect",0.943688033044181
"fixed","DNA_sex003-M",0.775827028681208,0.583164955794896,1.33037320053586,65.1024965333158,0.188036880877228,"TOTAL_PFAS","log_igy",110,"covariate",0.313394801462046
"fixed","DNA_sexF",-0.280773504577353,0.128592174481863,-2.18344161072533,69.0593501764688,0.0324040378817354,"TOTAL_PFAS","log_igy",110,"covariate",0.0757496989443165
"fixed","DNA_sexM",-0.292758249155015,0.139123554474121,-2.10430397829917,84.4373604367449,0.0383254497095179,"TOTAL_PFAS","log_igy",110,"covariate",0.0884433454835029
"fixed","age",0.0197424168446166,0.00503202970665806,3.9233506150599,92.207333986603,0.000167984155031209,"TOTAL_PFAS","log_igy",110,"covariate",0.00125988116273407
"fixed","PFAS_scaled:DNA_sexF",0.32060648039594,0.237145072977034,1.35194240542787,73.1015317530101,0.180561936349293,"TOTAL_PFAS","log_igy",110,"interaction",0.636460897638015
"fixed","PFAS_scaled:DNA_sexM",0.184839599475201,0.240594638247164,0.768261507495916,75.7925068599672,0.444718993901176,"TOTAL_PFAS","log_igy",110,"interaction",0.839519250743447
"fixed","PFAS_scaled:age",-0.00622917942696439,0.0042644633029441,-1.46071826263903,109.999731657703,0.146943261368257,"TOTAL_PFAS","log_igy",110,"interaction",0.594748464905003
"fixed","(Intercept)",3.07872563116733,1.9653799730483,1.56647858092918,98.05789021948,0.120458178758488,"PFBA","log_clysis",110,"covariate",0.216939287601117
"fixed","PFAS_scaled",0.726877705669906,2.03150056707556,0.357803348643057,98.4068230325956,0.721256785778023,"PFBA","log_clysis",110,"main_effect",0.927108013918596
"fixed","DNA_sex003-M",-0.609882393399749,3.52755526053519,-0.172890953749998,93.7728929256756,0.863109771219215,"PFBA","log_clysis",110,"covariate",0.887485550802791
"fixed","DNA_sexF",-1.00443925920295,1.09043620340581,-0.92113528151921,91.6371855175216,0.359398496308385,"PFBA","log_clysis",110,"covariate",0.509383695555192
"fixed","DNA_sexM",-0.592351492091325,1.12342050102793,-0.52727495318923,107.247830552937,0.599091713715167,"PFBA","log_clysis",110,"covariate",0.709450713610066
"fixed","age",-0.103692513361098,0.033785301520848,-3.06916051339996,72.4111960426747,0.00302027430883107,"PFBA","log_clysis",110,"covariate",0.0119497735727234
"fixed","PFAS_scaled:DNA_sexF",-0.0844615303570585,1.3598552813165,-0.0621106756854964,106.766002001103,0.950590822072167,"PFBA","log_clysis",110,"interaction",0.997811978743356
"fixed","PFAS_scaled:DNA_sexM",0.459676212562579,1.440372571276,0.319137021718874,106.095177615107,0.750250102039325,"PFBA","log_clysis",110,"interaction",0.896640365851876
"fixed","PFAS_scaled:age",-0.0147543994886137,0.0303435543878602,-0.486244930307722,76.2917540193244,0.628187341038679,"PFBA","log_clysis",110,"interaction",0.890545981047171
"fixed","(Intercept)",3.78166046116751,1.90694123211388,1.98310278129309,94.9799384550257,0.0502440565109609,"PFBS","log_clysis",110,"covariate",0.1063991784938
"fixed","PFAS_scaled",0.533861028776204,0.546111085061327,0.97756856320954,105.565222814202,0.330522688308457,"PFBS","log_clysis",110,"main_effect",0.927108013918596
"fixed","DNA_sex003-M",-5.5629915288655,5.78835741482935,-0.961065658214802,109.632696487877,0.338634031753724,"PFBS","log_clysis",110,"covariate",0.491565529965083
"fixed","DNA_sexF",-1.09043694107793,1.09232908358435,-0.99826779078315,95.471339469567,0.320672983974732,"PFBS","log_clysis",110,"covariate",0.481233583754843
"fixed","DNA_sexM",-0.708343791664978,1.1145418775076,-0.635547040411813,108.696183282666,0.526407474166467,"PFBS","log_clysis",110,"covariate",0.653208689588288
"fixed","age",-0.117009527999081,0.0322588200772909,-3.62721041001285,70.3255655452082,0.000538757692020399,"PFBS","log_clysis",110,"covariate",0.00285224660481388
"fixed","(Intercept)",1.94913145050342,1.82504667258608,1.06798992035722,109.999999998063,0.287863265546575,"PFDA","log_clysis",110,"covariate",0.454520945599856
"fixed","PFAS_scaled",0.778101725088893,2.01976328180786,0.385244019483524,109.999999998118,0.700800562217398,"PFDA","log_clysis",110,"main_effect",0.927108013918596
"fixed","DNA_sex003-M",-1.45034649267586,4.36792555702164,-0.3320446911794,109.999999998004,0.740487373386047,"PFDA","log_clysis",110,"covariate",0.838287592512506
"fixed","DNA_sexF",-0.87229276499471,1.14370944706652,-0.762687382911838,109.999999997988,0.447282306473528,"PFDA","log_clysis",110,"covariate",0.600826978845037
"fixed","DNA_sexM",-0.900236302470011,1.13288493956512,-0.794640542062097,109.999999998167,0.428533764316921,"PFDA","log_clysis",110,"covariate",0.58602995961121
"fixed","age",-0.0801443328396202,0.0293082873631819,-2.73452801408998,109.999999998255,0.00728298303937533,"PFDA","log_clysis",110,"covariate",0.0229803827224993
"fixed","PFAS_scaled:DNA_sexF",-1.09281122882208,1.16620810586477,-0.937063653842239,109.999999998115,0.350778645756744,"PFDA","log_clysis",110,"interaction",0.790932492670402
"fixed","PFAS_scaled:DNA_sexM",-2.15330552545018,1.20061649501029,-1.79349986810878,109.999999998626,0.0756407161918981,"PFDA","log_clysis",110,"interaction",0.526073428679794
"fixed","PFAS_scaled:age",-0.0145842499775367,0.0346414630998698,-0.421005600585951,109.999999998869,0.674572434946741,"PFDA","log_clysis",110,"interaction",0.890545981047171
"fixed","(Intercept)",3.76037296822005,1.8613696209322,2.02021829836075,93.4272857060534,0.0462241374022536,"PFDOA","log_clysis",110,"covariate",0.100245117257899
"fixed","PFAS_scaled",2.50571134558821,3.03303101958332,0.826141021773147,109.765000602355,0.410516210915762,"PFDOA","log_clysis",110,"main_effect",0.927108013918596
"fixed","DNA_sex003-M",-2.76780813145838,8.57186616543243,-0.32289446405732,106.708899866577,0.747407018999155,"PFDOA","log_clysis",110,"covariate",0.840832896374049
"fixed","DNA_sexF",-1.10298376802328,1.11205336891679,-0.991844275511395,98.2379486315154,0.323710241170225,"PFDOA","log_clysis",110,"covariate",0.481552424881327
"fixed","DNA_sexM",-0.758625010596121,1.1220767925139,-0.676090099766256,109.497528270106,0.500408965394346,"PFDOA","log_clysis",110,"covariate",0.643382955507016
"fixed","age",-0.117225543367037,0.0311737783602917,-3.76038932503465,68.1533742698903,0.000354689101950034,"PFDOA","log_clysis",110,"covariate",0.0021281346117002
"fixed","PFAS_scaled:DNA_sexF",-1.23185091818987,2.61982978527209,-0.470202654048356,106.822851298686,0.639168803579282,"PFDOA","log_clysis",110,"interaction",0.890545981047171
